name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
GB,18.7,12.0,8.5,-8.1,2.2
OAK,18.4,10.0,18.0,0.5,0.9
PIT,17.3,13.0,14.7,-6.8,-4.1
CHI,15.8,13.0,-0.7,-11.5,5.0
NYJ,11.3,10.0,4.1,-6.5,0.7
MIA,9.0,11.0,-3.2,-6.7,5.5
NE,7.9,11.0,3.4,-1.5,3.1
BAL,7.0,10.0,-7.0,-12.5,1.4
SD,6.9,5.0,0.0,-5.0,1.9
DEN,2.1,8.0,0.8,0.9,2.2
SEA,0.0,9.0,1.6,-0.3,-2.0
KC,-0.4,6.0,11.1,9.5,-2.0
WAS,-0.5,8.0,-11.5,-8.5,2.6
TEN,-2.8,7.0,7.6,10.3,-0.2
JAC,-6.1,6.0,-1.9,2.3,-2.0
CLE,-7.3,7.0,-19.8,-13.1,-0.6
NYG,-7.7,7.0,0.2,0.9,-7.1
NO,-8.7,7.0,-6.8,3.0,1.1
IND,-11.3,6.0,6.9,15.3,-2.9
ARI,-13.6,7.0,5.2,19.4,0.6
ATL,-18.4,7.0,-11.5,11.8,4.9
CIN,-19.1,6.0,-11.5,0.5,-7.0
DAL,-20.0,5.0,-15.2,1.7,-3.1
BUF,-22.0,3.0,-4.4,12.6,-5.0
DET,-22.5,2.0,-11.7,13.0,2.2
CAR,-23.3,1.0,-26.7,2.0,5.4
MIN,-27.4,5.0,-4.5,18.1,-4.8
TB,31.6,12.0,-3.8,-31.8,3.6
OAK,28.5,11.0,22.0,-6.2,0.3
MIA,24.9,9.0,6.6,-15.0,3.3
KC,24.4,8.0,35.4,14.0,3.1
PHI,23.6,12.0,6.7,-11.2,5.7
NYJ,16.1,9.0,18.0,8.3,6.4
NE,15.7,9.0,7.2,-1.6,6.9
DEN,15.2,9.0,16.6,-0.4,-1.8
SF,13.0,10.0,19.2,2.1,-4.1
ATL,10.8,9.0,1.6,-4.1,5.2
TEN,9.2,11.0,8.3,-0.2,0.6
GB,7.7,12.0,3.0,-8.6,-3.8
PIT,6.8,10.0,6.6,-5.3,-5.1
NO,6.1,9.0,-4.4,1.7,12.2
CLE,1.6,9.0,-6.2,-5.1,2.7
SEA,0.7,7.0,8.1,7.7,0.3
NYG,0.2,10.0,3.8,-1.4,-4.9
JAC,-0.2,6.0,7.8,6.7,-1.2
BAL,-0.6,7.0,-6.1,-8.1,-2.6
IND,-1.2,10.0,0.3,-0.6,-2.2
SD,-2.4,8.0,1.8,2.4,-1.8
STL,-6.5,7.0,-10.2,-4.5,-0.7
BUF,-8.0,8.0,0.9,5.9,-3.0
WAS,-8.9,7.0,-7.0,-5.9,-7.8
CAR,-11.4,7.0,-25.2,-13.8,-0.1
CHI,-12.5,4.0,-13.9,2.6,4.0
MIN,-19.6,6.0,1.1,14.5,-6.2
DAL,-24.5,5.0,-24.5,-2.7,-2.6
CIN,-27.9,2.0,-4.8,13.7,-9.4
DET,-34.5,3.0,-24.8,17.5,7.8
ARI,-36.5,5.0,-12.3,18.2,-6.0
HOU,-41.9,4.0,-43.3,2.3,3.8
KC,30.3,13.0,33.4,9.4,6.3
TEN,22.9,12.0,17.4,-5.0,0.5
IND,22.4,12.0,17.6,-3.2,1.6
NE,20.6,14.0,1.2,-18.7,0.8
GB,20.2,10.0,11.4,-7.1,1.7
PHI,19.6,12.0,17.1,3.0,5.5
BAL,15.6,10.0,-12.7,-25.0,3.2
SEA,13.0,10.0,16.2,3.4,0.2
MIA,12.8,10.0,-4.6,-14.7,2.7
DEN,11.8,10.0,9.4,-4.2,-1.8
TB,10.2,7.0,-1.0,-17.6,-6.5
